seed,theta_chiang,se_chiang,bias_chiang,theta_iid,se_iid,bias_iid
7691,1.1371456193819496,0.09591824394944845,0.13714561938194958,1.0711669590971713,0.042120097801428204,0.0711669590971713
7692,0.9735126905402182,0.0842430232168604,-0.026487309459781838,0.9793583495905455,0.03861970773263213,-0.020641650409454537
7693,1.005555473599958,0.08019634963649601,0.005555473599957894,0.9784881084563616,0.034517608587889444,-0.021511891543638417
7694,1.0421705677889728,0.09935525278899321,0.04217056778897277,1.0331344476401527,0.043229080575076045,0.03313444764015272
7695,1.054553735052191,0.08192248104232064,0.054553735052190966,0.9885760824007223,0.036856404646518924,-0.011423917599277744
7696,1.1009497661326264,0.08674191777270969,0.1009497661326264,1.0891655617755844,0.043307778444734324,0.08916556177558443
7697,1.0985759120997023,0.10617926585580462,0.09857591209970229,1.005110495527158,0.039912697444041634,0.005110495527157921
7698,1.1346705971448134,0.09478832942003157,0.13467059714481344,1.0386000003905655,0.03962156461975719,0.03860000039056555
7699,0.9262470254512865,0.08401013574928926,-0.07375297454871355,0.9911143811670654,0.039701938220533556,-0.008885618832934594
7700,1.1065680620321916,0.07071556392103515,0.1065680620321916,1.1519211367533824,0.03482037042821127,0.15192113675338237
7701,1.0003913663886252,0.10008941715787414,0.0003913663886252472,0.9880479608031549,0.04019554753789746,-0.011952039196845066
7702,0.9875782755027598,0.09099269947334766,-0.012421724497240216,0.9614219274549929,0.03777203039727209,-0.038578072545007114
7703,0.8904973530892806,0.08765406982420135,-0.10950264691071943,0.9057195197072648,0.03564440182109809,-0.09428048029273517
7704,0.9173331083515579,0.08533224869667684,-0.0826668916484421,0.9394035336782134,0.03516359390134768,-0.06059646632178661
7705,1.085369252636736,0.09802630501816541,0.085369252636736,1.0631189068955325,0.04208664027850258,0.06311890689553246
7706,0.9615797154911737,0.0749309165334294,-0.038420284508826286,0.9912938537693791,0.036143145545156075,-0.008706146230620937
7707,1.0522404117457986,0.07776238294629625,0.05224041174579863,1.0223511548363449,0.04204679332319875,0.022351154836344866
7708,1.0580965837673844,0.11621251287998746,0.05809658376738436,0.9791706221335331,0.03813297457411434,-0.02082937786646688
7709,0.9100933855331198,0.09138077960534936,-0.0899066144668802,0.9371603590681387,0.03770482598522797,-0.06283964093186134
7710,1.0499792862899273,0.0892890586587793,0.049979286289927316,1.0442350705153718,0.03893486475849021,0.04423507051537179
7711,1.0252264595188296,0.08858291000332053,0.025226459518829625,0.990098404689843,0.0358922443401897,-0.009901595310156996
7712,0.9548137309383137,0.07542612624110605,-0.045186269061686324,0.9648328414536961,0.03536711304941239,-0.03516715854630392
7713,1.0595768627306315,0.08406807095902138,0.05957686273063145,1.010115339948384,0.035677385777373255,0.010115339948383983
7714,0.9900397265336878,0.10930745741644608,-0.00996027346631223,0.9779405066431947,0.049628270674247445,-0.02205949335680535
7715,1.0815243705683184,0.07787426520742778,0.0815243705683184,1.07530570885412,0.037774742988022296,0.07530570885412002
7716,0.9647498962817689,0.08187777481225861,-0.03525010371823112,0.9931204874056465,0.03515597163777441,-0.006879512594353487
7717,0.9898251641747665,0.09933101471120363,-0.010174835825233486,1.032585201815851,0.043895922775042916,0.032585201815851006
7718,1.1040898683145255,0.08022302509222151,0.10408986831452549,1.0999815721397357,0.03641690012008538,0.09998157213973569
7719,0.9127080449874511,0.12477343334074172,-0.08729195501254894,0.8957528920865535,0.053483247678117844,-0.10424710791344649
7720,0.8569189955003245,0.09724010006756492,-0.14308100449967553,0.8878448560198194,0.03892337955265671,-0.11215514398018056
