scenario,sim_id,seed,n,tau_true,dgp,dgp_label,learner,learner_label,strategy,N,M,tau_hat,se,se_iid,se_cr,covers,covers_iid,covers_cr,bias
balkus_original__earth_exact__N20__no_cf,23,7714,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.2695159260100197,0.10093921898515582,0.10093921898515582,0.12018355057000214,0,0,1,0.2245159260100198
balkus_original__earth_exact__N20__no_cf,24,7715,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.1202853418655563,0.10647853554943601,0.10647853554943601,0.08758256004595731,1,1,1,0.07528534186555635
balkus_original__earth_exact__N20__no_cf,25,7716,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.1034214884754885,0.08811424731515898,0.08811424731515898,0.10358087660816,1,1,1,0.05842148847548856
balkus_original__earth_exact__N20__no_cf,26,7717,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.0589753366712629,0.11280725704143064,0.11280725704143064,0.11625991381961436,1,1,1,0.013975336671262939
balkus_original__earth_exact__N20__no_cf,27,7718,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.0395360696296465,0.08883789913066695,0.08883789913066695,0.13472235529695475,1,1,1,-0.00546393037035342
balkus_original__earth_exact__N20__no_cf,28,7719,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.209543795633888,0.10041416083708972,0.10041416083708972,0.09871861406252466,1,1,1,0.164543795633888
balkus_original__earth_exact__N20__no_cf,29,7720,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.015156647816379,0.11127632797521998,0.11127632797521998,0.10849146513828699,1,1,1,-0.029843352183620997
balkus_original__earth_exact__N20__no_cf,30,7721,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.0842042258671287,0.09394557171682652,0.09394557171682652,0.1226387990385176,1,1,1,0.039204225867128795
balkus_original__earth_exact__N20__no_cf,31,7722,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.077930424957739,0.0988043275325578,0.0988043275325578,0.036754511968402334,1,1,1,0.032930424957739124
balkus_original__earth_exact__N20__no_cf,32,7723,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,0.7785855660387031,0.11974501264955291,0.11974501264955291,0.14874989123159613,0,0,1,-0.2664144339612968
balkus_original__earth_exact__N20__no_cf,33,7724,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.0135954012975015,0.10996329995873595,0.10996329995873595,0.12241192213888774,1,1,1,-0.031404598702498454
balkus_original__earth_exact__N20__no_cf,34,7725,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,0.8061894397390544,0.11300112436210907,0.11300112436210907,0.08642113380008497,0,0,0,-0.2388105602609455
balkus_original__earth_exact__N20__no_cf,35,7726,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,0.9626895615697925,0.09681966041003047,0.09681966041003047,0.09102276694640228,1,1,1,-0.08231043843020747
balkus_original__earth_exact__N20__no_cf,36,7727,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.0427829106770932,0.11905088035065907,0.11905088035065907,0.09833677496870424,1,1,1,-0.0022170893229067623
balkus_original__earth_exact__N20__no_cf,37,7728,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.2268704389327445,0.10960248471339602,0.10960248471339602,0.09956437305067635,1,1,1,0.18187043893274457
balkus_original__earth_exact__N20__no_cf,38,7729,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.1440772501874092,0.10797902776913268,0.10797902776913268,0.10335076757291867,1,1,1,0.09907725018740932
balkus_original__earth_exact__N20__no_cf,39,7730,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.1268953431326891,0.10661100694718784,0.10661100694718784,0.05446160296448443,1,1,1,0.0818953431326892
balkus_original__earth_exact__N20__no_cf,40,7731,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.0825945959849383,0.10655303163732974,0.10655303163732974,0.12102762059816283,1,1,1,0.03759459598493842
balkus_original__earth_exact__N20__no_cf,41,7732,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.0707850788333657,0.11280473602680281,0.11280473602680281,0.09756668523820351,1,1,1,0.025785078833365782
