dgp,learner,strategy,n,n_reps,bias,bias_mcse,emp_se,emp_se_mcse,mod_se,mod_se_mcse,rel_se,rel_se_mcse,mse,rmse,coverage,coverage_mcse,mean_ci_length,se_noack_cr,cov_noack_cr
balkus_adversarial,deep_rf,as_iid,2000,200,0.07731044587063345,0.0034612271840208904,0.048949144260967796,0.002453598897016338,0.04706869813742282,0.00041495864262280284,0.9615836772647229,0.04893965029159681,0.008372923764597182,0.09150368169968454,0.61,0.03448912872196107,0.18450929669869745,,
balkus_adversarial,deep_rf,as_iid,4000,200,0.048841475446418564,0.002090277088743308,0.029560982080185358,0.0014817581414696725,0.029398141387166822,0.0002004449602935261,0.9944913639006707,0.05030840618827901,0.0032593413853281472,0.05709064183671565,0.655,0.033613613313656115,0.11524071423769394,,
balkus_adversarial,deep_rf,as_iid,10000,200,0.02753208377346701,0.001090051423943745,0.015415655074253486,0.0007727169669262944,0.016252385786394482,8.792229614594592e-05,1.0542779861193485,0.05315306224193094,0.0009956580582775629,0.03155404979202452,0.625,0.03423265984407288,0.06370935228266637,,
balkus_adversarial,deep_rf,chiang,2000,200,0.12257899435686535,0.010571265634731765,0.14950027232086288,0.007493771521611865,0.1424147759536988,0.00882721297508532,0.9526054618017221,0.07593636139034568,0.03737594128155259,0.19332858371578837,0.535,0.03526861210765175,0.5582659217384993,,
balkus_adversarial,deep_rf,chiang,4000,200,0.06930749314690803,0.0023453388711689844,0.03316810039967983,0.00166256664514716,0.034720044781980514,0.0002766855284684728,1.0467902702777536,0.053129824027115594,0.0059036514904319435,0.0768352229802969,0.455,0.035211858797853886,0.13610257554536362,,
balkus_adversarial,deep_rf,chiang,10000,200,0.041813419152207196,0.0012573171159246924,0.017781149175445248,0.0008912884722143015,0.018025708243191236,7.174719749099884e-05,1.0137538392672454,0.05097483912909385,0.0020645312871976048,0.04543711354385977,0.405,0.0347113093962184,0.07066077631330964,,
balkus_adversarial,deep_rf,no_cf,2000,200,-0.08934528197580968,0.0029659910000726674,0.04194544698179306,0.002102535274175392,0.017116959995218818,3.889051285097648e-05,0.40807670979519295,0.02047603935191919,0.009741999933839354,0.09870157006775199,0.09,0.02023610634484806,0.06709848318125776,,
balkus_adversarial,deep_rf,no_cf,4000,200,-0.038628074014385685,0.00180812312445091,0.025570722450388928,0.0012817444992641986,0.012041364791281586,1.7778048387897782e-05,0.4709043639515331,0.023614539764893493,0.002145989948695683,0.04632483080050787,0.285,0.03191982142807193,0.047202149981823815,,
balkus_adversarial,deep_rf,no_cf,10000,200,0.0031954251805779844,0.0009767939502097307,0.013813952520305909,0.0006924308724695264,0.007499646199343675,7.532488306659511e-06,0.5429037191433459,0.027218766906572177,0.0002010360263179378,0.014178717372101675,0.685,0.03284623266068728,0.029398613101427204,,
balkus_extreme,deep_rf,as_iid,2000,200,0.4232308191436782,0.09776046708383467,1.3825417841388752,0.06930055770856647,1.4799180068793956,0.07877190846887841,1.0704327520930383,0.07826392652873189,2.090546111162933,1.4458720936386222,0.97,0.012062338081814825,5.80127858696723,,
balkus_extreme,deep_rf,as_iid,4000,200,0.8423780763585919,0.12613221908123923,1.78377894876903,0.08941275945268429,1.8424265107539124,0.10413727942756425,1.0328782678063078,0.07803036574470906,3.8914681616011473,1.9726804509603544,0.965,0.012995191418367032,7.2223119221553365,,
balkus_extreme,deep_rf,as_iid,10000,200,0.49945365194019276,0.06942863620498496,0.9818691893815742,0.049216655295075115,0.9722401134649511,0.05053284154382933,0.9901931173513165,0.07150013145616498,1.2135210554932248,1.1015993171263427,0.975,0.011039701082909813,3.8111812447826083,,
balkus_extreme,deep_rf,chiang,2000,200,0.4238136656856464,0.1912572543414014,2.7047860299185036,0.1355786729241184,2.671634607146728,0.16792682494885242,0.9877434213260949,0.07940972923956557,7.495485490864205,2.737788430625019,0.945,0.016120638945153514,10.472807660015174,,
balkus_extreme,deep_rf,chiang,4000,200,0.6091670463559019,0.12299184910501017,1.739367410656506,0.08718661019976304,1.7865597616325213,0.10350272004329,1.0271319047872716,0.07868743485297419,3.3964834796198917,1.8429550943036817,0.955,0.014658615214269054,7.003314265599483,,
balkus_extreme,deep_rf,chiang,10000,200,0.5610760695555124,0.06959475407383822,0.9842184508124222,0.049334413130121234,0.9537973615440182,0.04830227714854564,0.9690911207331127,0.06905195885886113,1.2834923147474666,1.1329131982404772,0.96,0.013856406460551024,3.7388856572525513,,
balkus_extreme,deep_rf,no_cf,2000,200,-1.0882404380243955,0.0194802685067188,0.2754925992087121,0.01380919621292876,0.12682648220634005,0.0013383936140179962,0.460362574423485,0.023581744653681715,1.2601634231703003,1.1225700081377108,0.0,0.0,0.497159810248853,,
balkus_extreme,deep_rf,no_cf,4000,200,-0.7593889573546825,0.014594782807229315,0.2064013978587337,0.010345967223223661,0.10493422089167716,0.0006759069514993363,0.508398789835216,0.02569327192548716,0.619273125590271,0.7869390863276973,0.0,0.0,0.41134214589537443,,
balkus_extreme,deep_rf,no_cf,10000,200,-0.27092651170333215,0.008684756856075827,0.12282100931775157,0.00615646090533944,0.07870804114755366,0.0002999458916017119,0.6408353227575848,0.03221487213188409,0.08848617507356699,0.2974662587144414,0.14,0.024535688292770596,0.30853552129841033,,
